State Name,Technology,Geography ID,Technical Generation Potential - MWh MWh
Texas,csp,G48,48055919677
Texas,utility_pv,G48,31485323440
New Mexico,csp,G35,20440593891
Kansas,csp,G20,18009661593
Arizona,csp,G04,13728868577
Oklahoma,csp,G40,12015003852
Colorado,csp,G08,11650416298
New Mexico,utility_pv,G35,11410896960
Kansas,utility_pv,G20,10625695226
Nevada,csp,G32,10172285160
Nebraska,csp,G31,9694882940
Arizona,utility_pv,G04,8314796847
Nebraska,utility_pv,G31,7982349417
Oklahoma,utility_pv,G40,7935173924
South Dakota,utility_pv,G46,7624085911
Montana,utility_pv,G30,7416131216
North Dakota,utility_pv,G38,7002105373
Colorado,utility_pv,G08,6979828036
South Dakota,csp,G46,6690148152
California,csp,G06,6387960087
Nevada,utility_pv,G32,6257146333
Minnesota,utility_pv,G27,6118279034
Illinois,utility_pv,G17,6006934604
Wyoming,csp,G56,5882973959
Wyoming,utility_pv,G56,5668346535
Utah,csp,G49,5649145780
Iowa,utility_pv,G19,5480643022
Missouri,utility_pv,G29,5102668801
California,utility_pv,G06,4514440920
Georgia,utility_pv,G13,4124586039
Idaho,csp,G16,3879399765
Mississippi,utility_pv,G28,3797550796
Arkansas,utility_pv,G05,3716171737
Utah,utility_pv,G49,3709227976
Michigan,utility_pv,G26,3595423262
Wisconsin,utility_pv,G55,3538828046
Indiana,utility_pv,G18,3453123081
Oregon,csp,G41,3363650773
Florida,utility_pv,G12,3330753420
Alabama,utility_pv,G01,3285481948
Texas,land_based_wind,G48,3196840376
Louisiana,utility_pv,G22,3146703472
Idaho,utility_pv,G16,2974012805
North Carolina,utility_pv,G37,2953992055
Oregon,utility_pv,G41,2939641394
Ohio,utility_pv,G39,2872126069
Arkansas,csp,G05,2128099817
South Carolina,utility_pv,G45,1987299801
Montana,csp,G30,1955933007
Montana,land_based_wind,G30,1930819707
Texas,distributed_wind,G48,1906316816
Tennessee,utility_pv,G47,1875360356
Kentucky,utility_pv,G21,1693272837
New Mexico,land_based_wind,G35,1664139716
Florida,csp,G12,1637090842
Washington,utility_pv,G53,1619657489
Virginia,utility_pv,G51,1599983326
Louisiana,csp,G22,1445671338
Wyoming,land_based_wind,G56,1330381419
New York,utility_pv,G36,1314614374
Washington,csp,G53,1295971813
Louisiana,offshore_wind,G22,1229135713
Mississippi,csp,G28,1224143613
Nebraska,land_based_wind,G31,1210790946
Maine,utility_pv,G23,1205282558
South Dakota,land_based_wind,G46,1153240205
Massachusetts,offshore_wind,G25,1143322875
Florida,offshore_wind,G12,1131911234
Kansas,land_based_wind,G20,1120963249
North Dakota,csp,G38,1109568965
Minnesota,distributed_wind,G27,1064771245
Arizona,land_based_wind,G04,1049161727
Nevada,land_based_wind,G32,1046970622
Missouri,distributed_wind,G29,1043945626
Iowa,distributed_wind,G19,1036928958
Illinois,distributed_wind,G17,1002903048
Oklahoma,land_based_wind,G40,903698124.6
Colorado,land_based_wind,G08,883699969.9
Wisconsin,distributed_wind,G55,877000101.2
Texas,offshore_wind,G48,870428002.5
Michigan,distributed_wind,G26,854354162.6
Oklahoma,distributed_wind,G40,799301462.9
Pennsylvania,utility_pv,G42,792173808.3
Missouri,csp,G29,745589520.1
Kansas,distributed_wind,G20,744162453.4
South Carolina,offshore_wind,G45,734721188.5
Ohio,distributed_wind,G39,714303505.1
New York,distributed_wind,G36,707478814.6
Indiana,distributed_wind,G18,678910342.2
North Dakota,land_based_wind,G38,669797341.4
Missouri,land_based_wind,G29,653907868.3
Utah,land_based_wind,G49,636194125.5
Pennsylvania,distributed_wind,G42,635934034.1
Iowa,land_based_wind,G19,623214076.5
Nebraska,distributed_wind,G31,609563190.1
Oregon,land_based_wind,G41,595323820.2
North Carolina,offshore_wind,G37,594875731.7
Illinois,land_based_wind,G17,528267055.9
Idaho,land_based_wind,G16,524897030
California,distributed_wind,G06,524459877.8
Georgia,csp,G13,512795819.6
Arkansas,distributed_wind,G05,506134898.8
Georgia,distributed_wind,G13,489481175.2
Tennessee,distributed_wind,G47,473936667.3
North Carolina,distributed_wind,G37,465421780.7
Alabama,csp,G01,458204221.5
California,land_based_wind,G06,456328078
Maine,offshore_wind,G23,452990565.8
Maryland,utility_pv,G24,448303272.9
Alabama,distributed_wind,G01,443194010.7
South Dakota,distributed_wind,G46,426164820.3
Mississippi,distributed_wind,G28,425574027.3
Virginia,distributed_wind,G51,403620122.8
Kentucky,distributed_wind,G21,398164246.4
Colorado,distributed_wind,G08,397658258.6
Minnesota,land_based_wind,G27,392893980.8
North Dakota,distributed_wind,G38,361631817.6
California,offshore_wind,G06,357413036.7
Arkansas,land_based_wind,G05,352690390.9
Florida,distributed_wind,G12,349809025.8
Montana,distributed_wind,G30,347719709.2
Washington,land_based_wind,G53,333833628.3
Louisiana,distributed_wind,G22,324710306
New Jersey,offshore_wind,G34,313619785.5
New York,offshore_wind,G36,305845689.6
Georgia,offshore_wind,G13,292849859.2
South Carolina,distributed_wind,G45,286998314.8
Washington,distributed_wind,G53,285932279.3
Michigan,offshore_wind,G26,285147893.7
South Carolina,csp,G45,278277298.1
Pennsylvania,land_based_wind,G42,275002596.1
New Mexico,distributed_wind,G35,273956695.2
Arizona,distributed_wind,G04,261472221.9
New Jersey,utility_pv,G34,259576055.4
Kentucky,land_based_wind,G21,257229751.5
Alabama,land_based_wind,G01,254791272.2
Ohio,land_based_wind,G39,254749954.9
New York,land_based_wind,G36,252848232.7
Indiana,land_based_wind,G18,240672660.7
Oregon,offshore_wind,G41,237080316.5
Wisconsin,land_based_wind,G55,228010871
Idaho,distributed_wind,G16,227172944.8
Oregon,distributed_wind,G41,217002905
Tennessee,land_based_wind,G47,215879988.4
West Virginia,distributed_wind,G54,214856221.2
Maine,distributed_wind,G23,202239951.8
Maine,land_based_wind,G23,200990265.4
Mississippi,land_based_wind,G28,188920543.5
Wyoming,distributed_wind,G56,179773835.2
North Carolina,csp,G37,175497005.5
Alabama,offshore_wind,G01,169120597.7
Michigan,land_based_wind,G26,163894719.9
Washington,offshore_wind,G53,163688760.3
Massachusetts,utility_pv,G25,156681354
Virginia,offshore_wind,G51,153554798
California,commercial_pv,G06,150200335.1
Maryland,distributed_wind,G24,147452498.6
Delaware,utility_pv,G10,145945085.2
West Virginia,land_based_wind,G54,142908800.6
Virginia,land_based_wind,G51,141008024.9
Georgia,land_based_wind,G13,138223051.8
South Dakota,biopower,G46,128949494.8
Utah,distributed_wind,G49,122355059.8
Florida,floating_pv,G12,120071469
North Carolina,land_based_wind,G37,116231149.8
Maryland,offshore_wind,G24,113523601.6
Massachusetts,distributed_wind,G25,112278160.8
Minnesota,biopower,G27,110620908.8
California,geothermal,G06,108503637.6
Vermont,distributed_wind,G50,108075543
Louisiana,land_based_wind,G22,107003810.4
New Hampshire,distributed_wind,G33,101327434.6
Georgia,biopower,G13,99745688.92
Michigan,biopower,G26,99588740.81
New Hampshire,utility_pv,G33,97380537.95
Oklahoma,floating_pv,G40,96401938.94
New Jersey,distributed_wind,G34,96210452.92
California,hydro,G06,92469658.29
Rhode Island,offshore_wind,G44,90249505.71
Iowa,biopower,G19,88241847.64
Mississippi,offshore_wind,G28,84633466.6
Texas,commercial_pv,G48,84611627.25
Nevada,distributed_wind,G32,83821897.98
West Virginia,utility_pv,G54,79662244.99
Wisconsin,offshore_wind,G55,77226725.99
Tennessee,biopower,G47,76106756.71
California,floating_pv,G06,75687657.5
Vermont,utility_pv,G50,72488052.74
Oregon,hydro,G41,71071016.77
California,residential_pv,G06,70314636.13
Kansas,biopower,G20,69523576.95
Pennsylvania,hydro,G42,66023392
Connecticut,distributed_wind,G09,65478202.43
Washington,hydro,G53,65012368.74
New Mexico,floating_pv,G35,64392846.63
Florida,land_based_wind,G12,64077232.18
Ohio,offshore_wind,G39,63461601.37
Florida,commercial_pv,G12,62363611.52
Connecticut,utility_pv,G09,61737584.69
Virginia,biopower,G51,61724153.96
Texas,residential_pv,G48,61283430.81
Idaho,hydro,G16,58834808.15
North Carolina,biopower,G37,58303755.71
Illinois,biopower,G17,56996188.66
South Carolina,land_based_wind,G45,55848463.31
California,biopower,G06,55766980.12
Vermont,land_based_wind,G50,55420645.84
Nevada,geothermal,G32,54310248
New York,hydro,G36,53325153.78
Alabama,biopower,G01,47995740.51
Arkansas,biopower,G05,47812125.68
New York,biopower,G36,46960808.58
New Hampshire,land_based_wind,G33,46458035.92
Nebraska,biopower,G31,46377976.69
Louisiana,biopower,G22,45896108.2
Florida,residential_pv,G12,45803020.75
Montana,hydro,G30,44926866.31
Florida,biopower,G12,43096568.95
South Carolina,biopower,G45,43060818.7
Wisconsin,biopower,G55,41988799.08
Pennsylvania,biopower,G42,40699873.95
Tennessee,hydro,G47,40033230.32
Maine,biopower,G23,38112777.71
Minnesota,floating_pv,G27,37237500.24
Ohio,biopower,G39,35906040.83
New York,commercial_pv,G36,34886750.29
Rhode Island,utility_pv,G44,34760021.23
Colorado,hydro,G08,34549789.91
Texas,biopower,G48,34160290.59
Delaware,distributed_wind,G10,33947281.39
Illinois,commercial_pv,G17,32340454.61
Indiana,biopower,G18,31877904.23
Pennsylvania,commercial_pv,G42,31875516.28
Ohio,commercial_pv,G39,31614101.94
Kansas,hydro,G20,31605575.99
Mississippi,biopower,G28,31477699.17
Nevada,floating_pv,G32,31463560.1
Missouri,hydro,G29,30744776.23
Oregon,biopower,G41,30348581.72
Texas,floating_pv,G48,29432160.63
Virginia,floating_pv,G51,27500177.77
Michigan,commercial_pv,G26,27001398.67
South Carolina,floating_pv,G45,26827057.55
Georgia,commercial_pv,G13,26204648.1
Colorado,biopower,G08,24325268.91
North Carolina,commercial_pv,G37,23572959.21
Washington,floating_pv,G53,23554495.32
Ohio,residential_pv,G39,23521982.14
Maine,floating_pv,G23,22990545.32
Iowa,hydro,G19,22950226.68
Illinois,residential_pv,G17,22751407.78
Arizona,floating_pv,G04,21428428.47
Maryland,land_based_wind,G24,21212320.09
Montana,floating_pv,G30,21167865.64
New Jersey,commercial_pv,G34,20572981.5
Wyoming,floating_pv,G56,20534813.48
Illinois,hydro,G17,20481860.77
Michigan,residential_pv,G26,19931620.44
New York,residential_pv,G36,19793320.18
Washington,biopower,G53,19697510.39
Missouri,commercial_pv,G29,19697365.81
Colorado,floating_pv,G08,19674017.95
Pennsylvania,residential_pv,G42,19582856.41
Massachusetts,commercial_pv,G25,19188631.79
New Mexico,hydro,G35,18699499.41
Georgia,residential_pv,G13,18698911.32
